-15872	4
-15616	9
-15360	12
-15104	8
-14848	15
-14592	14
-14336	25
-14080	29
-13824	29
-13568	34
-13312	47
-13056	51
-12800	71
-12544	82
-12288	73
-12032	80
-11776	119
-11520	127
-11264	155
-11008	181
-10752	195
-10496	266
-10240	301
-9984	338
-9728	390
-9472	452
-9216	507
-8960	579
-8704	642
-8448	780
-8192	894
-7936	1004
-7680	1203
-7424	1298
-7168	1444
-6912	1567
-6656	1807
-6400	2041
-6144	2247
-5888	2484
-5632	2729
-5376	2913
-5120	3331
-4864	3682
-4608	3870
-4352	4325
-4096	4627
-3840	5025
-3584	5374
-3328	5931
-3072	6203
-2816	6750
-2560	7208
-2304	7758
-2048	7912
-1792	8374
-1536	8778
-1280	9325
-1024	9559
-768	10027
-512	10388
-256	10129
0	10225
256	9947
512	9568
768	9165
1024	8826
1280	8563
1536	8083
1792	7619
2048	7246
2304	6785
2560	6354
2816	5964
3072	5477
3328	5153
3584	4799
3840	4310
4096	4077
4352	3761
4608	3339
4864	3122
5120	2749
5376	2516
5632	2210
5888	2012
6144	1888
6400	1610
6656	1478
6912	1439
7168	1185
7424	1051
7680	953
7936	846
8192	764
8448	638
8704	575
8960	494
9216	420
9472	350
9728	317
9984	281
10240	231
10496	165
10752	174
11008	158
11264	143
11520	102
11776	104
12032	83
12288	76
12544	70
12800	52
13056	30
13312	36
13568	31
13824	37
14080	23
14336	8
14592	24
14848	9
15104	5
15360	4
15872	1
